Latitude,Longitude,Radius,Depth
42.9772,308.263,12.1843,-2562.332275
42.9608,308.1385,7.0045,-2552.545166
43.0206,308.1052,13.6928,-2552.880127
42.9075,308.2474,8.7964,-2559.526611
43.0261,308.1129,13.4289,-2551.468994
43.0576,308.0493,24.3761,-2549.966309
42.9718,308.2982,10.4804,-2568.514648
43.0683,308.1836,12.12,-2557.355469
43.0598,308.067,14.5942,-2560.66333
43.1492,308.272,14.8345,-2562.526367
42.994,308.295,11.4032,-2568.723633
42.9601,308.2325,24.9861,-2560.577148
43.0615,308.0511,12.9287,-2549.343262
43.1322,308.2964,11.9034,-2564.148438
42.9974,308.2989,8.2182,-2571.407715
42.9843,308.2427,8.5816,-2561.304932
42.9426,308.2627,10.0516,-2562.021729
43.0499,308.0596,12.3559,-2547.904785
43.0494,308.1305,10.065,-2551.466797
42.9561,308.0562,11.3387,-2547.338379
42.9777,308.2134,11.2892,-2557.522461
42.995,308.3042,9.4241,-2572.669678
43.0889,308.0419,12.1488,-2544.405518
42.9908,308.2985,7.7531,-2568.913818
42.935,308.2231,11.0664,-2557.274902
42.9177,308.1529,12.9198,-2550.507568
42.9614,308.2885,7.7767,-2566.608154
42.9202,308.1385,8.2881,-2550.282959
42.9436,308.2188,7.3914,-2558.888916
42.8956,308.1294,13.7695,-2546.418701
43.0451,308.0841,10.2832,-2546.988037
42.9334,308.1285,12.3016,-2548.373291
42.9961,308.1988,14.1378,-2561.420898
42.9142,308.0482,11.0826,-2545.097168
43.1,308.2431,7.3941,-2562.241943
42.8899,308.1287,10.7032,-2548.371338
42.8953,308.0964,8.7585,-2546.192871
43.0731,308.0397,8.8392,-2545.08374
43.1092,308.3058,11.5134,-2564.443604
43.0074,308.1804,12.2581,-2562.305664
42.9654,308.249,10.7081,-2562.529785
42.8969,308.2719,7.2532,-2560.300049
43.0596,308.059,11.0881,-2547.709717
43.1041,308.0988,7.3727,-2549.053955
42.9972,308.2394,13.3207,-2564.541748
42.9385,308.1307,11.3174,-2550.480957
42.9672,308.2307,14.7548,-2560.854248
42.8633,308.2941,12.9313,-2566.810059
43.0945,308.1617,14.0902,-2556.508057
43.0552,308.3049,7.4261,-2569.290039
43.0318,308.2827,21.0659,-2569.345703
42.9542,308.1941,13.6211,-2557.219971
43.1087,308.2306,23.3779,-2562.125732
42.9887,308.2471,12.821,-2562.268311
43.0138,308.2545,12.1711,-2568.04126
42.8816,308.069,14.1798,-2548.640625
42.9311,308.2215,15.0236,-2559.266846
42.9012,308.2732,27.3603,-2561.478027
43.0059,308.1997,12.8207,-2562.054443
43.1035,308.2416,10.3984,-2561.949219
43.1318,308.0567,12.5053,-2543.660889
42.9794,308.2674,11.3497,-2563.017822
42.9675,308.0579,12.9795,-2547.965576
43.1264,308.2366,10.8929,-2558.113525
42.9967,308.2379,9.1737,-2564.270752
43.0345,308.0475,16.2903,-2550.417969
43.0962,308.2711,12.1481,-2563.383301
43.037,308.1371,17.3372,-2556.521729
43.0736,308.0443,18.1639,-2547.273682
43.0089,308.221,12.9257,-2561.910889
43.0543,308.0669,23.479,-2574.992188
42.988,308.2507,23.9239,-2559.466553
42.9858,308.2419,8.2527,-2562.324219
42.9652,308.2559,9.8406,-2565.713623
43.0605,308.0589,7.6161,-2549.854004
43.1411,308.3047,14.1937,-2564.328125
42.9725,308.238,9.1217,-2561.80957
42.9575,308.08,13.9548,-2546.144531
43.1262,308.1729,7.3849,-2557.409912
43.0083,308.1675,11.7457,-2558.363037
42.9625,308.2879,14.9477,-2566.28418
42.983,308.0663,13.4146,-2546.20752
42.9969,308.2268,8.5934,-2563.709229
42.949,308.2474,15.6149,-2560.421631
43.1222,308.3048,11.545,-2564.280518
42.9941,308.0821,9.9596,-2547.747559
42.944,308.1083,10.1887,-2546.366943
42.8764,308.1087,21.2543,-2547.573242
42.9234,308.1542,12.4514,-2552.932861
43.1069,308.2477,9.1449,-2562.417969
43.0624,308.1569,9.8009,-2562.536377
42.9286,308.1228,11.0464,-2548.935059
42.9357,308.0796,8.3801,-2543.186768
43.0874,308.0402,10.8028,-2544.49292
43.0684,308.2936,9.7421,-2568.559814
43.1262,308.2455,13.5333,-2559.358887
43.1386,308.2745,13.0652,-2562.75415
43.0742,308.1657,9.093,-2557.144531
43.0776,308.0504,8.5122,-2545.838867
43.154,308.1052,12.3629,-2547.038574
43.0391,308.2709,24.3349,-2564.422119
43.0536,308.2707,7.9456,-2568.225342
42.908,308.1623,9.5833,-2550.529297
42.8902,308.0251,11.5284,-2542.40918
42.9249,308.0728,12.7443,-2547.487549
42.8679,308.0326,9.1746,-2544.001221
42.9772,308.2641,8.6225,-2562.883301
42.949,308.2665,11.6161,-2561.784424
42.8707,308.2918,9.3959,-2564.458496
43.1018,308.1033,9.9959,-2550.061035
43.1381,308.1286,7.7546,-2551.730713
42.9067,308.2468,11.8859,-2559.851563
43.1456,308.1832,14.0779,-2559.146729
42.9372,308.1418,8.9223,-2550.037842
42.9645,308.2563,9.3386,-2565.345947
43.0467,308.2312,8.6344,-2559.961426
43.0595,308.0478,8.1918,-2549.824951
42.9934,308.2999,7.4829,-2569.52417
42.8752,308.2067,10.2439,-2556.87915
43.0223,308.1227,30.4268,-2551.871826
42.96,308.2901,14.3538,-2568.623047
42.9826,308.1484,12.0179,-2553.545166
43.0004,308.0324,11.8386,-2542.816406
43.0327,308.1194,13.0496,-2551.660645
43.0706,308.2959,26.8504,-2568.366699
43.0574,308.1886,12.1951,-2558.453857
43.0286,308.1475,13.4496,-2557.212158
43.1201,308.1779,9.2305,-2556.691895
43.0071,308.1887,12.2063,-2561.946777
42.8891,308.2156,11.5476,-2556.497559
43.0805,308.0494,7.6714,-2546.365967
42.9899,308.2224,28.895,-2561.14624
42.9497,308.0648,12.3644,-2542.889648
42.9859,308.2533,11.1767,-2558.965576
